a|يك(0.5)
abandon|رها كردن(0.75),ترك گفتن(0.25),واگذار كردن(0.25),تسليم شدن(0.25),تبعيد كردن(0.25),دل كندن(0.25),واگذاري(0.25),بيخيالي(0.25),رها سازي(0.25)
abatement|كاهش(0.75),جلو گيري(0.75),تنزل(0.5),تخفيف(0.25)
abduction|ربايش(0.75),عمل ربودن(0.5),دورشدگي(0.5),دوري از مركز بدن(0.5),قياسي(0.5),قياس(0.5),سرقت(0.5)
ability|توانايي(0.75),قابليت(0.75),شايستگي(0.25),لياقت(0.25),استطاعت(0.25),صلاحيت(0.25),سررشته(0.25)
able|قادر(0.75),توانا(0.5),لايق(0.25),شايسته(0.25),اماده(0.25),صلاحيت دار(0.25),قابل(0.25),داراي صلاحيت قانوني(0.25),مستعد(0.25),خليق(0.25),با استعداد(0.25)
aboard|روي(0.75),از روي(0.5),توي(0.25),روي يا داخل(0.25)
abolish|منسوخ كردن(0.5),از ميان بردن(0.5),بر انداختن(0.5),موقوف كردن(0.5)
abortion|سقط جنين(0.75),عدم تكامل(0.25),بچهاندازي(0.25),سقط نوزاد نارس يا رشد نكرده(0.25)
about|در(0.75),در حدود(0.5),در باره(0.5),راجع به(0.5),پيرامون(0.5),در شرف(0.25),نزد(0.25),با(0.25),در صدد(0.25),در باب(0.25),تقريبا(0.5),پيرامون(0.5)
above|فوق(0.75),بالاي(0.5),فراز(0.5),بالاي سر(0.25),مافوق(0.25),در بالا(0.75),بالاتر(0.75),برتر(0.25),قسمت بالا(0.25),بالاتر(0.75),نام برده(0.25),واقع در بالا(0.25),مافوق(0.25)
abrasive|ساينده(0.75),تراشنده(0.5),سوزش اور(0.25)
abroad|خارج از كشور(0.75),وسيع(0.25),بيرون(0.25),خارج(0.75),خارجه(0.25)
absence|عدم(0.75),فقدان(0.75),غياب(0.75),غيبت(0.75),نبودن(0.5),حالت غياب(0.25)
absolute|مطلق(0.75),كامل(0.5),قطعي(0.5),استبدادي(0.25),خالص(0.5),غير مشروط(0.25),مستقل(0.25),ازاد از قيود فكري(0.25),خود راي(0.25),دايره نا محدود(0.25)
absolutely|كاملا(0.75)
absorption|جذب(0.75),دركشي(0.25),در اشامي(0.25),انجذاب(0.25),خورد(0.25)
abuse|سو استفاده(0.75),توهين(0.5),تهمت(0.25),سو استعمال(0.25),فحش(0.25),بد زباني(0.25),خفت(0.25),خواري(0.25),بد دهاني(0.25),پرخاش(0.25),سب(0.25),بد بكار بردن(0.25),بد استعمال كردن(0.25)
academic|علمي(0.75)
academician|عضو فرهنگستان(0.75),عضو انجمن دانش(0.5),عضوانجمن علمي(0.5),عضو اكادمي(0.5)
accept|پذيرفتن(0.75),قبول كردن(0.5),قبول شدن(0.25),پسنديدن(0.25),موافقت كردن(0.25)
acceptable|قابل قبول(0.75),قابل پذيرش(0.5),مقبول(0.5),پذيرفتني(0.5),مناسب(0.5),پذيرا(0.25),پسنديده(0.25),خوشايند(0.25),خوب(0.25)
acceptance|پذيرش(0.75),قبولي حواله(0.25),حواله قبول شده(0.25)
access|دسترسي(0.75),دسترس(0.5),راه(0.25),تقريب(0.25),اجازه دخول(0.25),راه دسترس(0.25),مدخل(0.25),وسيله حصول(0.25),بروز مرض(0.25),حمله(0.25),اصابت(0.25),دسترسي يا مجال مقاربت(0.25),تقرب به خدا(0.25),دست يابي(0.25)
accessible|در دسترس(0.75),دستيابي پذير(0.25),قابل وصول(0.25),نزديك(0.25),اماده پذيرايي(0.25),دست يافتني(0.25),حي و حاضر(0.25),دم دستي(0.25)
accident|تصادف(0.75),حادثه(0.75),سانحه(0.5),واقعه ناگوار(0.25),تصادف اتومبيل(0.25),عارضه(0.25),اتفاق(0.5),پيش امد(0.25),مصيبت ناگهاني(0.25),صفت(0.25),صرف(0.25),پا(0.25),شيي(0.25)
accidental|تصادفي(0.75),اتفاقي(0.75),غير مترقبه(0.5),غير اساسي(0.25),عرضي(0.5),عارضي(0.25),پيشامدي(0.25)
accommodate|جا دادن(0.5),همساز كردن(0.25),منزل دادن(0.25),وفق دادن با(0.25),تطبيق نمودن(0.25),اصلاح كردن(0.25),اماده كردن براي(0.25),پول وام دادن(0.25)
accommodation|محل اقامت(0.75)
accord|پيمان(0.75),توافق(0.75),سازش(0.5),موافقت(0.5),مصالحه(0.5),اشتي دادن(0.25),اصلاح كردن(0.25),دلخواه(0.25),طيب خاطر(0.25),قرار(0.25),پيمان غير رسمي بينالمللي(0.25),متفق بودن(0.25)
accordance|تطابق(0.5),موافقت(0.25),جور بودن(0.25),وفق(0.25),توافق(0.25),سازش(0.25),متفق بودن(0.25),متابعت(0.25)
accordingly|بر اين اساس(0.75)
account|حساب(0.75),شرح(0.5),داستان(0.25),حكايت(0.25),گزارش(0.5),صورت حساب(0.25),بيان علت(0.25),سبب(0.25),خبر(0.25),پا(0.25),مسئول بودن(0.25),شمردن(0.25)
accountability|جوابگويي(0.5),مسئوليت(0.25)
accountant|محاسب(0.5),حساب دار(0.5),ذيحساب(0.25)
accredit|معتبر شناختن(0.5),اعتبارنامه دادن(0.5),معتبر ساختن(0.5),اختيار دادن(0.5),اطمينان كردن(0.5),برسميت شناختن(0.5),مورد اطمينان بودن يا شدن(0.5)
accumulation|انباشتگي(0.5),ذخيره(0.5),جمع اوري(0.25),توده(0.25)
accuracy|دقت(0.75),صحت(0.75),درستي(0.5)
accurately|دقت(0.75)
accusation|اتهام(0.75),تهمت(0.5)
accuse|متهم كردن(0.5),تهمت زدن(0.25),متهم ساختن(0.5)
accustom|اشنا كردن(0.75),عادت دادن(0.75),اشنا شدن(0.75),معتاد ساختن(0.75),انس گرفتن(0.75),خو گرفتن(0.75),عادي كردن(0.75)
achieve|رسيدن(0.75),دست يافتن(0.5),انجام دادن(0.25),تحصيل كردن(0.25),بانجام رسانيدن(0.25),نائل شدن به(0.25),كسب موفقيت كردن اطاعت كردن(0.25)
achieved|دست(0.75)
achievement|موفقيت(0.75),پيروزي(0.5),انجام(0.5),دست يابي(0.25),كار بزرگ(0.25)
achieving|دستيابي به(0.75)
acid|اسيد(0.75)
acidic|اسيدي(0.75),تشكيل دهنده اسيد(0.25),اسيد دار(0.25)
acidification|اسيد سازي(0.5),ترشي(0.5),اسيد شدگي(0.5),تحميض(0.5)
acknowledges|اذعان(0.75)
acp|ACP(0.75)
acquire|به دست اوردن(0.75)
acquisition|اكتساب(0.75),مالكيت(0.5),فراگيري(0.5),حصول(0.5),استفاده(0.25)
acre|هكتار(0.75),زمين(0.5)
across|در ميان(0.5),از عرض(0.25),از ميان(0.25),از وسط(0.25),ازاين طرف بان طرف(0.25),يكسره(0.25),از اين سو بان سو(0.25)
act|عمل(0.75),كنش(0.5),فعل(0.5),كار(0.5),كردار(0.25),اعلاميه(0.5),حقيقت(0.25),فرمان قانون(0.25),تصويب نامه(0.25),سند(0.25),رساله(0.25),عمل كردن(0.5)
acting|بازيگري(0.75),ايفاي نمايش(0.25),كفيل(0.75),فعاليت(0.5),كاري(0.25),جديت(0.25),فعال(0.5),جدي(0.25),كفالت كننده(0.25),كنشي(0.25),فاعل(0.25),عامل(0.25),قابل اعمال(0.25)
action|عمل(0.75),اقدام(0.75),كنش(0.5),حركت(0.5),اشاره(0.25),رفتار(0.5),كردار(0.25),كار(0.25),فعل(0.25),جديت(0.25),جنبش(0.25),جريان(0.25)
